,,Vulnerable sites,Vulnerable sites
,,History & Acceptance,Only Acceptance
Inclusion Method,Observation Method,,
window.open,length,247,665
iframe-csp,el-securitypolicyviolation,13,182
iframe-csp,length,47,81
iframe,length,43,80
iframe,el-blur,4,52
iframe-csp,el-blur,1,52
iframe,el-message,6,35
iframe-csp,el-message,5,33
window.open,el-message,4,28
embed,el-blur,0,32
object,el-blur,0,29
link-stylesheet,events-fired,16,12
embed,el-message,1,17
script,events-fired,13,5
window.open,origin,12,1
window.open,CSS2Properties,12,1
window.open,win.performanceAPI,12,1
window.open,window.name,12,1
iframe-csp,events-fired,8,3
object,performanceAPI,5,6
link-stylesheet,performanceAPI,7,4
iframe-csp,performanceAPI,8,2
object,el-message,1,9
script,performanceAPI,9,1
style-import,win.performanceAPI,6,4
object,events-fired,2,6
iframe,history.length,5,3
object,contentDocument,2,5
iframe-csp,win.performanceAPI,7,0
double-script,win.performanceAPI,5,2
iframe-csp,window.name,7,0
iframe-csp,origin,7,0
iframe-csp,CSS2Properties,7,0
iframe-csp,contentDocument,7,0
iframe-csp,history.length,5,2
iframe,performanceAPI,2,3
iframe-csp,windowHeight,5,0
window.open,opener,5,0
link-prefetch,performanceAPI,3,2
embed,history.length,3,2
img,width,3,2
img,naturalWidth,3,2
img,naturalHeight,3,2
img,height,3,2
img,events-fired,3,2
iframe,events-fired,2,3
embed-img,performanceAPI,3,1
fetch-creds-cors,fetch-response,4,0
window.open,windowHeight,4,0
object,history.length,2,2
link-prefetch,events-fired,2,2
script,el-error,2,1
embed,performanceAPI,1,2
embed,events-fired,2,1
iframe,origin,1,1
iframe,contentDocument,1,1
iframe,CSS2Properties,1,1
iframe,window.name,1,1
iframe,windowHeight,1,1
iframe,win.performanceAPI,1,1
script,el-message,0,1
link-stylesheet,sheet,1,0
