CSS2Properties,el-securitypolicyviolation.smooth,win.performanceAPI.smooth,el-message,events-fired,window.name,origin,events-fired-all,contentDocument,length,0
nan,uncalled,uncalled,uncalled,uncalled,iframe-tag,http://localhost:8001,nan,"{'location': {'hash': '', 'host': '', 'href': 'about:blank', 'port': '', 'origin': 'null', 'search': '', 'hostname': '', 'pathname': 'blank', 'protocol': 'about:'}}",0,137273
"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property CSS2Properties on cross-origin object'}",uncalled,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property PerformanceResourceTiming on cross-origin object'}",uncalled,load,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property name on cross-origin object'}","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property origin on cross-origin object'}",load,js-null,0,122550
"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property CSS2Properties on cross-origin object'}","URL: , Effective Directive: frame-ancestors, Status-Code: 0","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property PerformanceResourceTiming on cross-origin object'}",uncalled,uncalled,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property name on cross-origin object'}","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property origin on cross-origin object'}",nan,js-null,0,73838
nan,"URL: https://127.0.0.1:44300/echo/<redacted>/, Effective Directive: default-src, Status-Code: 0",uncalled,uncalled,uncalled,iframe-tag,http://localhost:8001,nan,"{'location': {'hash': '', 'host': '', 'href': 'about:blank', 'port': '', 'origin': 'null', 'search': '', 'hostname': '', 'pathname': 'blank', 'protocol': 'about:'}}",0,13301
nan,"['URL: https://127.0.0.1:44300/echo/<redacted>/, Effective Directive: default-src, Status-Code: 0', 'URL: , Effective Directive: frame-ancestors, Status-Code: 0']",uncalled,uncalled,uncalled,iframe-tag,http://localhost:8001,nan,"{'location': {'hash': '', 'host': '', 'href': 'about:blank', 'port': '', 'origin': 'null', 'search': '', 'hostname': '', 'pathname': 'blank', 'protocol': 'about:'}}",0,6651
"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property CSS2Properties on cross-origin object'}",uncalled,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property PerformanceResourceTiming on cross-origin object'}",uncalled,uncalled,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property name on cross-origin object'}","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property origin on cross-origin object'}",nan,js-null,0,902
"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property CSS2Properties on cross-origin object'}",uncalled,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property PerformanceResourceTiming on cross-origin object'}",uncalled,load,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property name on cross-origin object'}","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property origin on cross-origin object'}",load,js-null,1,565
"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property CSS2Properties on cross-origin object'}",uncalled,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property PerformanceResourceTiming on cross-origin object'}",uncalled,load,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property name on cross-origin object'}","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property origin on cross-origin object'}",load,js-null,2,563
"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property CSS2Properties on cross-origin object'}","URL: http://localhost:8000/, Effective Directive: default-src, Status-Code: 0","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property PerformanceResourceTiming on cross-origin object'}",uncalled,"['load', 'error']","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property name on cross-origin object'}","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property origin on cross-origin object'}","['load', 'error']",js-null,0,561
"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property CSS2Properties on cross-origin object'}",uncalled,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property PerformanceResourceTiming on cross-origin object'}","['Origin: https://127.0.0.1:44300, Message: mes1', 'Origin: https://127.0.0.1:44300, Message: mes1']",load,"{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property name on cross-origin object'}","{'code': 18, 'data': None, 'name': 'SecurityError', 'result': 2152923154, 'message': 'Permission denied to access property origin on cross-origin object'}",load,js-null,0,286
